Movie Names,Ratings
1.      Disaster Movie(2008),2.1
2.      Manos: The Hands of Fate(1966),2.2
3.      Birdemic: Shock and Terror(2010),2.3
4.      Superbabies: Baby Geniuses 2(2004),2.3
5.      The Hottie & the Nottie(2008),2.4
6.      House of the Dead(2003),2.5
7.      Saving Christmas(2014),2.5
8.      Son of the Mask(2005),2.5
9.      Epic Movie(2007),2.5
10.      Radhe(2021),2.6
11.      Battlefield Earth(2000),2.6
12.      Pledge This!(2006),2.7
13.      Alone in the Dark(2005),2.7
14.      Dragonball Evolution(2009),2.7
15.      From Justin to Kelly(2003),2.8
16.      Race 3(2018),2.8
17.      Going Overboard(1989),2.9
18.      Dünyayi Kurtaran Adam'in Oglu(2006),2.9
19.      Foodfight!(2012),2.9
20.      Meet the Spartans(2008),2.9
21.      Gigli(2003),2.9
22.      Date Movie(2006),3.0
23.      Cats(2019),3.0
24.      Daniel der Zauberer(2004),3.0
25.      Baby Geniuses(1999),3.0
26.      Glitter(2001),3.1
27.      Jaws: The Revenge(1987),3.2
28.      The Human Centipede III (Final Sequence)(2015),3.2
29.      Cosmic Sin(2021),3.2
30.      Troll 2(1990),3.2
31.      BloodRayne(2005),3.2
32.      365 Days: This Day(2022),3.3
33.      Hobgoblins(1988),3.3
34.      Left Behind(2014),3.3
35.      365 dni(2020),3.4
36.      Elk*rtuk(2021),3.4
37.      Jeepers Creepers: Reborn(2022),3.4
38.      Who's Your Caddy?(2007),3.4
39.      Jack and Jill(2011),3.4
40.      Rollerball(2002),3.4
41.      Enes Batur Hayal mi Gerçek mi?(2018),3.4
42.      Santa Claus Conquers the Martians(1964),3.5
43.      Catwoman(2004),3.5
44.      Slender Man(2018),3.5
45.      Kazaam(1996),3.5
46.      Vampires Suck(2010),3.6
47.      The Emoji Movie(2017),3.6
48.      Steel(1997),3.6
49.      The Starving Games(2013),3.6
50.      The Open House(2018),3.6
51.      Student of the Year 2(2019),3.6
52.      Tees Maar Khan(2010),3.6
53.      Laxmii(2020),3.6
54.      Scary Movie 5(2013),3.6
55.      Breach(2020),3.6
56.      The Return of the Texas Chainsaw Massacre(1995),3.6
57.      Dumb and Dumberer: When Harry Met Lloyd(2003),3.6
58.      The Room(2003),3.7
59.      Gunday(2014),3.7
60.      The Master of Disguise(2002),3.7
61.      Police Academy: Mission to Moscow(1994),3.7
62.      Bratz(2007),3.7
63.      Daddy Day Camp(2007),3.7
64.      Hercules in New York(1970),3.7
65.      Far Cry(2008),3.7
66.      Barb Wire(1996),3.7
67.      Mortal Kombat: Annihilation(1997),3.7
68.      Feardotcom(2002),3.8
69.      3 Ninjas: High Noon at Mega Mountain(1998),3.8
70.      Batman & Robin(1997),3.8
71.      Smolensk(2016),3.8
72.      Winnie-the-Pooh: Blood and Honey(2023),3.8
73.      Fifty Shades of Black(2016),3.8
74.      Crossroads(2002),3.8
75.      Captain America(1990),3.8
76.      Baaghi 3(2020),3.8
77.      Spice World(1997),3.8
78.      Spy Kids 4: All the Time in the World(2011),3.8
79.      Jaws 3-D(1983),3.8
80.      Superman IV: The Quest for Peace(1987),3.9
81.      Die unendliche Geschichte III: Rettung aus Phantasien(1994),3.9
82.      Dungeons & Dragons(2000),3.9
83.      The Wicker Man(2006),3.9
84.      The Fog(2005),3.9
85.      D-War(2007),3.9
86.      Black Christmas(2019),3.9
87.      Mac and Me(1988),3.9
88.      Bucky Larson: Born to Be a Star(2011),3.9
89.      The Adventures of Sharkboy and Lavagirl 3-D(2005),3.9
90.      Piranha 3DD(2012),3.9
91.      I Know Who Killed Me(2007),3.9
92.      The Love Guru(2008),3.9
93.      In the Name of the King: A Dungeon Siege Tale(2007),4.0
94.      The Hungover Games(2014),4.0
95.      The Avengers(1998),4.0
96.      The Flintstones in Viva Rock Vegas(2000),4.0
97.      Street Fighter: The Legend of Chun-Li(2009),4.0
98.      The Human Centipede II (Full Sequence)(2011),4.0
99.      Stan Helsing(2009),4.0
100.      Ballistic: Ecks vs. Sever(2002),4.0
